world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
146,26.62947956085205,3,0,0.4375,3,4.060757687217311,-11.242521787944593,0.061565150947947254
147,15.33752724846204,2,1,0.32142857142857145,3,4.61938294342586,-11.458673000335693,0.06132350542715618
148,13.603003006974854,2,1,,3,4.587655504544576,-11.360536511739095,0.061186451464891434
149,24.53211102048556,3,0,0.0,3,4.568087736765544,-11.79061926735772,0.0610633318622907
150,2.656804414788881,1,2,0.1875,3,5.034894506136577,-11.46445639928182,0.06097274521986643
151,25.47391045848529,3,0,0.5,3,4.877388921650973,-11.84377046064897,0.06078513762490316
152,25.78360694249471,3,0,,3,5.592939883470535,-11.429945508639017,0.06055683130398393
153,26.499666233658797,3,0,0.0,3,3.8883266823632376,-11.695867456708635,0.06038982910769326
154,15.274474073052408,2,1,0.625,3,4.6478741112209505,-11.466068086170015,0.060263575187751224
155,5.52372762044271,1,2,0.125,3,3.454571909374661,-11.764425807529026,0.06013955300052961
156,24.394650437831874,3,0,0.8333333333333334,3,4.482397681788394,-11.600249240272923,0.05997051318225108
157,15.611099736293157,2,1,0.35294117647058826,3,5.029727798827151,-11.627341047246405,0.059681059832268575
158,25.74014605184396,3,0,0.16666666666666666,3,4.720868155360222,-11.77181738615036,0.059487932128831744
159,23.768021094004315,3,0,0.28865979381443296,3,5.312237458351331,-11.60622134575477,0.05909863214653272
160,3.5481697972615556,1,2,0.16666666666666666,3,4.92957682792957,-11.994634261498085,0.05877373797389177
161,5.918401914834988,1,1,,3,4.810882631540299,-11.784659252166747,0.05787175763398409
162,25.645303450425462,3,0,,3,5.0261656575732765,-11.780741903516981,0.05701618186301655
163,2.253679972092311,1,2,0.16666666666666666,3,5.692433675130208,-11.941485977172851,0.056900438417991
164,26.88554153819879,3,0,0.25,3,5.478602957725525,-12.204372596740722,0.05677878424525261
165,3.4336254485448188,1,2,0.0,3,5.61311354637146,-11.746451473236084,0.056664756312966344
166,24.635803809563324,3,0,0.36363636363636365,3,5.070839339640083,-12.19250533638931,0.056142995542869334
167,14.2562398537,2,1,0.3181818181818182,3,4.586635368210929,-12.213265146527972,0.055646466179972605
168,26.216381231149043,3,0,0.3157894736842105,3,5.169327604901659,-12.280421927735047,0.055189573420928076
169,24.455219629605608,3,0,0.5555555555555556,3,4.816624809713924,-12.251310236313763,0.05484761714058764
170,14.070191287199657,2,1,0.2857142857142857,3,5.955961528031723,-12.402869680653447,0.05470603623467943
171,14.0336035490036,2,1,0.5,3,6.382877397537231,-12.012058067321778,0.054553375020623206
172,16.480843488375346,2,1,,3,4.91804959053217,-12.343816247097282,0.05436273612255274
173,1.7569918004671727,1,2,0.16666666666666666,3,5.754659032821655,-12.362754535675048,0.05419684089720249
174,15.935095651149751,2,1,0.3611111111111111,3,4.85118205119402,-12.13376277532333,0.05403389753057407
175,25.021045343875887,3,0,,3,5.162387636991648,-12.364526271820068,0.053715142636344984
176,14.565861037572235,2,1,0.3333333333333333,3,4.88861349313566,-12.305457426769898,0.05320976604477014
177,24.561261109511054,3,0,0.5,3,5.629611718654632,-12.222619152069091,0.05281986091285944
178,24.5967071924607,3,0,0.125,3,5.389981426690754,-12.327681892796567,0.05267953578578798
179,25.254856383005784,3,0,,3,5.081573817878962,-12.313341423869133,0.0522639854461886
180,25.276596381664277,3,0,0.5,3,4.6775953016783065,-12.511529571131655,0.051843600445672086
181,24.704329595565795,3,0,0.25,3,5.090015292167664,-12.354431450366974,0.05170852714218199
182,15.178019511898365,2,1,0.16666666666666666,3,4.978398125050432,-12.293501967090672,0.051376137377346975
183,26.17629052201907,3,0,0.3333333333333333,3,4.853586821329026,-11.89314874013265,0.050994145550898144
184,25.754697080850605,3,0,,3,5.361074473176684,-12.561116877056303,0.050780641713312695
185,26.098963790734604,3,0,0.14285714285714285,3,4.880998682975769,-12.544207032521566,0.05050680699447791
186,24.08811633944511,3,0,0.23333333333333334,3,5.266183416048686,-12.545610456755668,0.050314789242816696
187,26.293880557219193,3,0,0.3,3,4.8088966187308815,-12.723676457124597,0.04999232949579463
188,24.41866903543472,3,0,0.21052631578947367,3,5.130113363265991,-12.60936963558197,0.049678984408577286
189,25.122976067066194,3,0,0.18181818181818182,3,5.256692266464233,-12.541128985087077,0.049515168244640036
190,16.176013955076538,2,1,0.5,3,5.149044325857451,-12.540075446620133,0.04922192126060977
191,25.185173210700356,3,0,,3,5.179810896515846,-12.521709740161896,0.04884093627333641
192,14.634857886632288,2,1,0.2222222222222222,3,4.922655472884307,-12.883213507162559,0.04838532093610313
193,25.112897934118905,3,0,0.1,3,5.130624253409249,-12.73512464250837,0.047878827154636386
194,25.2157395307223,3,0,0.2777777777777778,3,4.619642659237511,-12.56600580717388,0.04771046850242113
195,3.183218061923982,1,2,0.16666666666666666,3,5.124473695097299,-12.927347544966073,0.04759099938232323
196,26.602865805029875,3,0,0.14285714285714285,3,5.167612527978831,-12.778445145179486,0.04742722984017997
197,4.21943901260694,1,2,0.38095238095238093,3,6.047336126628675,-12.616012974789268,0.04728845997076286
198,24.261953500111897,3,0,0.3333333333333333,3,4.866149624188741,-12.914281606674194,0.04720255732536316
