episode,score,steps,result,critic_loss,actor_loss
207,30.35692294236727,36,goal,0.46377865349253017,-11.733540534973145
208,30.601318914305075,20,goal,0.3876222148537636,-11.609743690490722
209,30.54164501322779,20,goal,0.37604313641786574,-11.964163875579834
210,30.468710745149583,27,goal,0.30632821774041213,-12.02799313408988
211,30.355853812603065,36,goal,0.6240975877477063,-12.084537559085422
212,30.496178659545464,27,goal,0.44206469588809544,-11.894830190218412
213,30.516453833250857,21,goal,0.3548901787116414,-12.371979973532937
214,30.54960567221489,20,goal,0.40282026678323746,-12.579266834259034
215,30.330024790307647,40,goal,0.6044608753174543,-12.232449054718018
216,30.51429929148763,22,goal,0.4788483807986433,-12.300243724476207
217,30.467680257659737,25,goal,0.8422565221786499,-12.380093574523926
218,30.583926763753986,22,goal,0.24069106104699048,-12.164265979420055
219,30.625780102922477,20,goal,0.5180435042828322,-12.28466272354126
220,30.29674388995875,42,goal,0.5398979034452212,-12.825055803571429
221,30.667890079299287,20,goal,0.6574187889695168,-13.090196323394775
222,30.651503758848712,20,goal,0.44050770401954653,-12.788853931427003
223,30.6359631389331,19,goal,0.40687818982099233,-12.683741569519043
224,30.78302900644696,20,goal,0.4788828697055578,-12.882955837249757
225,30.518825233791134,27,goal,0.3218481170910376,-12.811905714181753
226,30.46876574803536,28,goal,0.49249325692653656,-12.848183768136161
227,30.472254088476223,28,goal,0.5432976444384882,-13.227389948708671
228,30.523852418090257,25,goal,0.5073858094215393,-12.919475115262545
229,30.57802878935635,20,goal,0.49247446060180666,-13.176259803771973
230,30.797368028200466,21,goal,0.6395772035632815,-13.70189619064331
231,30.627841168718916,22,goal,0.522410361604257,-12.921324556524103
232,30.550488844399823,24,goal,0.5665165322522322,-13.5133957862854
233,30.570332756810465,19,goal,0.5199766778632214,-13.586971282958984
234,30.51593973766987,22,goal,0.2817257944155823,-13.870900240811435
235,30.611281808816113,24,goal,0.44665650588770706,-13.564736127853394
236,30.47931007356665,24,goal,0.4720278025294344,-13.631305615107218
237,30.64897430628136,25,goal,0.4000146210193634,-13.90497080485026
238,30.68478738534601,19,goal,0.412626304124531,-13.946121883392333
239,30.73922900536421,22,goal,0.2879445647651499,-13.857033816250889
240,30.79914997049735,20,goal,0.7437806241214275,-14.28401460647583
241,30.516922823587805,24,goal,0.4654617967704932,-13.694849014282227
242,30.534839476831472,23,goal,0.41203068229167356,-14.583572821183639
243,30.72298226969795,25,goal,0.5426346883177757,-13.996245237497183
244,30.60240407289691,24,goal,0.6085147885605693,-14.554453690846762
245,30.801492211252786,22,goal,0.595347827131098,-13.990444096651943
246,30.78436545990018,19,goal,0.5168069679486124,-14.33853848775228
247,30.567029936658095,19,goal,0.4195037899832976,-14.402261638641358
248,30.681025467744213,25,goal,0.49949644833803175,-14.49668256441752
249,30.55669774890638,23,goal,0.47134951469690906,-14.256078402201334
250,30.689475629155673,23,goal,0.516908532899359,-14.504364013671875
251,30.610861834359618,22,goal,0.4344385503367944,-14.744268764149059
252,30.520349212644504,25,goal,0.39096313118934634,-14.482444836543156
253,30.62672689526793,26,goal,0.46466042961065585,-14.53267214848445
254,30.743209507178207,24,goal,0.43180745157102746,-14.845314741134644
255,30.678235981172435,24,goal,0.45167826985319454,-14.707943360010782
256,30.580844469826737,21,goal,0.7790442996081852,-14.973280239105225
257,30.609600640382006,19,goal,0.47913508901470586,-15.026825046539306
258,30.73045071324104,19,goal,0.572719436727072,-15.040416399637857
259,30.864605000014024,20,goal,0.49570835307240485,-15.162966251373291
260,30.742794941290345,25,goal,0.38141902536153793,-15.176914288447453
261,30.527338678306783,20,goal,0.46133401691913606,-15.121927070617676
262,30.53994992893145,27,goal,0.6590287050715199,-15.285979784451998
263,30.650251860104305,25,goal,0.4346893584728241,-15.115703876201923
264,30.69994447486367,21,goal,0.2855852047602336,-15.530329990386964
265,30.753816565770265,24,goal,0.6682711637889346,-15.48282758394877
266,30.734440785768797,26,goal,0.5548661798238754,-15.330045773432804
267,30.655194361237587,23,goal,0.4868905498929646,-15.740887562433878
268,30.53192752400927,23,goal,0.5970687594102777,-15.518176512284713
269,30.73614759026927,19,goal,0.7061860984877536,-16.031442737579347
270,30.630194325954335,19,goal,0.5758642264102635,-15.452012485928005
271,30.73344114051867,26,goal,0.5966566216487151,-15.523869661184458
272,30.57575518906333,20,goal,0.5159921545535326,-15.333892154693604
273,30.767914939836956,19,goal,0.511986349758349,-16.01797914505005
274,30.7167655772204,19,goal,0.9657981929026151,-16.012854682074654
