world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
149,29.55670938983583,3,0,0.0,3,0.6248603920141856,-19.130548350016277,0.045652260382970176
150,29.600703802669333,3,0,0.25,3,0.6480878656730056,-19.26324075460434,0.04521012585610151
151,29.559472696885592,3,0,0.5,3,1.1044073970988393,-19.096685588359833,0.044731449568644166
152,29.573100728355,3,0,0.25,3,1.3333799201866676,-19.22742613430681,0.04428830935523428
153,29.661926081713407,3,0,0.0,3,0.6774954693391919,-19.40338832139969,0.04392481013201177
154,29.520504925514444,3,0,0.25,3,1.3584194942828147,-19.44590937706732,0.043525162243073984
155,29.65129957447766,3,0,0.5,3,1.1179433579246203,-19.506718508402507,0.043132927268743515
156,29.593485716596216,3,0,0.5,3,1.3018087754326482,-19.633491885277532,0.04281491702122073
157,29.55931623755576,3,0,0.0,3,0.6589431382458786,-19.617314963505187,0.042476817451674365
158,29.578683398802724,3,0,0.25,3,0.7483638469129801,-19.766140699386597,0.04214871418662369
159,29.524700622877052,3,0,0.5,3,0.8063693990310034,-19.9951473236084,0.04173858327170213
160,29.61873799779171,3,0,0.25,3,1.4286245076042232,-19.919797550548207,0.04136699099432339
161,29.43592361880344,3,0,0.0,3,0.48033221017929817,-20.045114271102413,0.04100508663442827
162,29.566848633094924,3,0,0.16666666666666666,3,0.5943955177890843,-20.117610734084558,0.04066188068225466
163,29.686438257652238,3,0,0.0,3,0.6354029476642609,-20.184302729945028,0.040299168397342
164,29.6080371597169,3,0,0.25,3,0.5802007326856256,-20.313351571559906,0.039922315161675215
165,29.707861571412767,3,0,0.5,3,0.40236074570566416,-20.471319913864136,0.03954291483387351
166,29.46889057582331,3,0,0.3333333333333333,3,0.6795662956372384,-20.491360141384988,0.039162280698937756
167,29.51522545842904,3,0,0.25,3,0.5186118804849684,-20.723807513713837,0.03876331041101366
168,29.435570763201326,3,0,0.25,3,0.46834306940436365,-20.719949150085448,0.038388923679788904
169,29.59011131951579,3,0,0.25,3,0.2702588847640789,-20.818358970410895,0.03801214525645429
170,29.5163292106334,3,0,0.16666666666666666,3,0.12924583304312923,-20.891253194501324,0.03761293030073566
171,29.486313962071055,3,0,0.125,3,0.5690453748684376,-20.825759887695312,0.037200444494374096
172,29.706403598334067,3,0,0.3333333333333333,3,0.7066583114010947,-20.954173496791295,0.036758491609777726
173,29.445515186417534,3,0,0.16666666666666666,3,0.4619571248238737,-21.040414521188445,0.036344477173053856
174,29.573331743922854,3,0,0.25,3,0.12871602730404946,-21.0897766236336,0.03596177877437684
175,29.558703177578778,3,0,0.6666666666666666,3,0.3796450116616838,-21.196569274453555,0.03556695306564078
176,29.50509859828375,3,0,0.3333333333333333,3,0.6595994443632662,-21.178052186965942,0.035173903102986515
177,29.5957547172561,3,0,0.3333333333333333,3,0.88133363787617,-21.1717524937221,0.03480128188218389
178,29.443331266625176,3,0,0.5,3,0.44350356696283116,-21.342866897583008,0.03442580351496444
179,29.475970118023483,3,0,0.16666666666666666,3,0.25084221665747464,-21.317057132720947,0.03407957451418042
180,29.650934189800676,3,0,0.3333333333333333,3,0.3599535852219119,-21.358791929302793,0.033750909521724236
181,29.63244744430095,3,0,0.3333333333333333,3,0.10003549402410333,-21.418596787886187,0.03340382636948065
182,29.580785048926156,3,0,0.16666666666666666,3,0.24925253982655704,-21.419633328914642,0.03306889452505857
183,29.62255945153016,3,0,0.3333333333333333,3,0.08404226697260334,-21.525229238694713,0.03274072754767633
184,29.510261107899293,3,0,0.125,3,0.08376342767188626,-21.54970347496771,0.032425812655879606
185,29.66770442598961,3,0,0.125,3,0.394804666213917,-21.53927571845777,0.03210747433882771
